Genesymbol,EnsembleID
Elob,ENSMUSG00000055839
Plcb1,ENSMUSG00000051177
Leng9,ENSMUSG00000043432
Socs1,ENSMUSG00000038037
Bcam,ENSMUSG00000002980
Slc4a4,ENSMUSG00000060961
Mfsd4a,ENSMUSG00000059149
Pkdcc,ENSMUSG00000024247
Zadh2,ENSMUSG00000049090
Cgnl1,ENSMUSG00000032232
Itgb6,ENSMUSG00000026971
Isl1,ENSMUSG00000042258
Lpar1,ENSMUSG00000038668
Cyp2c44,ENSMUSG00000025197
BC026585,ENSMUSG00000033488
Slc39a4,ENSMUSG00000063354
Rpl35,ENSMUSG00000062997
Gja1,ENSMUSG00000050953
Kctd8,ENSMUSG00000037653
Gnb1,ENSMUSG00000029064
Aldh1a7,ENSMUSG00000024747
Slc16a5,ENSMUSG00000045775
Scara3,ENSMUSG00000034463
Fam53b,ENSMUSG00000030956
Man2b2,ENSMUSG00000029119
Nktr,ENSMUSG00000032525
Nr0b2,ENSMUSG00000037583
Plekha6,ENSMUSG00000041757
Evpl,ENSMUSG00000034282
Gns,ENSMUSG00000034707
Rsph9,ENSMUSG00000023966
Ift74,ENSMUSG00000028576
Retsat,ENSMUSG00000056666
Hmgcs2,ENSMUSG00000027875
Gpm6a,ENSMUSG00000031517
Hnf1aos1,ENSMUSG00000086054
Edf1,ENSMUSG00000015092
Gper1,ENSMUSG00000053647
Paqr8,ENSMUSG00000025931
BC030870,ENSMUSG00000074300
Afm,ENSMUSG00000029369
Tgfa,ENSMUSG00000029999
Slc25a24,ENSMUSG00000040322
Gm5485,ENSMUSG00000110573
Nfkb2,ENSMUSG00000025225
Efl1,ENSMUSG00000038563
Zfp9,ENSMUSG00000072623
Rbp1,ENSMUSG00000046402
Sgce,ENSMUSG00000004631
Fa2h,ENSMUSG00000033579
Arhgap11a,ENSMUSG00000041219
Rbbp9,ENSMUSG00000027428
Fam114a1,ENSMUSG00000029185
Nutm1,ENSMUSG00000041358
Adamtsl4,ENSMUSG00000015850
Pycr1,ENSMUSG00000025140
Rhof,ENSMUSG00000029449
Gas6,ENSMUSG00000031451
Galm,ENSMUSG00000035473
Mlph,ENSMUSG00000026303
Zfyve21,ENSMUSG00000021286
E2f2,ENSMUSG00000018983
Fam222a,ENSMUSG00000041930
D630039A03Rik,ENSMUSG00000052117
Vegfb,ENSMUSG00000024962
Myh7,ENSMUSG00000053093
Lrrc26,ENSMUSG00000026961
Slc17a9,ENSMUSG00000023393
Pgghg,ENSMUSG00000062031
Vps29,ENSMUSG00000029462
Gpd1l,ENSMUSG00000050627
Idua,ENSMUSG00000033540
Gm5086,ENSMUSG00000110235
Mpi,ENSMUSG00000032306
Lrig1,ENSMUSG00000030029
Atp5k,ENSMUSG00000050856
Socs3,ENSMUSG00000053113
Csgalnact1,ENSMUSG00000036356
Coro1c,ENSMUSG00000004530
Abhd14a,ENSMUSG00000042210
Ankdd1b,ENSMUSG00000047117
H2-DMb1,ENSMUSG00000079547
Gm27572,ENSMUSG00000098836
Dock11,ENSMUSG00000031093
Rbms3,ENSMUSG00000039607
Ttc6,ENSMUSG00000046782
St3gal6,ENSMUSG00000022747
Actn2,ENSMUSG00000052374
Arfgef2,ENSMUSG00000074582
Cux2,ENSMUSG00000042589
Tmem56,ENSMUSG00000028132
Sbf1,ENSMUSG00000036529
Capn8,ENSMUSG00000038599
Sfrp1,ENSMUSG00000031548
Oplah,ENSMUSG00000022562
Usp6nl,ENSMUSG00000039046
Smdt1,ENSMUSG00000022452
Engase,ENSMUSG00000033857
Tmem50b,ENSMUSG00000022964
Ttc23,ENSMUSG00000030555
Utp14b,ENSMUSG00000079470
Clcn5,ENSMUSG00000004317
Jpt1,ENSMUSG00000020737
Gmip,ENSMUSG00000036246
Slc7a4,ENSMUSG00000022756
Hccs,ENSMUSG00000031352
Psmb2,ENSMUSG00000028837
Slc20a1,ENSMUSG00000027397
CT030035.1,ENSMUSG00000114425
Pdzk1ip1,ENSMUSG00000028716
Clic6,ENSMUSG00000022949
9230110C19Rik,ENSMUSG00000053070
Asap2,ENSMUSG00000052632
Kcnk1,ENSMUSG00000033998
Ifnar2,ENSMUSG00000022971
Slc26a10,ENSMUSG00000040441
Atp10b,ENSMUSG00000055415
Ifnlr1,ENSMUSG00000062157
Usf3,ENSMUSG00000068284
Mylip,ENSMUSG00000038175
Uhrf1bp1l,ENSMUSG00000019951
P4ha2,ENSMUSG00000018906
Prkacb,ENSMUSG00000005034
Atp5o,ENSMUSG00000022956
Usmg5,ENSMUSG00000071528
Clcn2,ENSMUSG00000022843
Igf2,ENSMUSG00000048583
Katnal1,ENSMUSG00000041298
Lpgat1,ENSMUSG00000026623
Adhfe1,ENSMUSG00000025911
Calml4,ENSMUSG00000032246
Apol8,ENSMUSG00000056656
Isoc2b,ENSMUSG00000052605
Cdc42bpb,ENSMUSG00000021279
Bend5,ENSMUSG00000028545
Pros1,ENSMUSG00000022912
Smpdl3b,ENSMUSG00000028885
Gorasp1,ENSMUSG00000032513
